pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,ba42ba844839,2025-10-09T15:32:37.488681,shrek3,supposed,11,False,2f4fb31011d8,12.719550999463536
1,ba42ba844839,2025-10-09T15:32:37.506220,grail,LANCELOT,59,True,a52919b3eb77,8.29183500900399
1,ba42ba844839,2025-10-09T15:32:37.520779,shrek3,"Uh,",0,False,72fd24c913e4,17.883174994494766
1,ba42ba844839,2025-10-09T15:32:37.545748,grail,on,139,True,2f4fb31011d8,6.978567995247431
1,ba42ba844839,2025-10-09T15:32:37.558384,grail,since,10,False,a52919b3eb77,14.507426996715367
