pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,29c10d9c1084,2025-10-09T15:29:25.913684,shrek,a,305,True,3e1718633b3f,40.35696400387678
1,29c10d9c1084,2025-10-09T15:29:25.966140,shrek,it's,55,True,3e1718633b3f,9.285698004532605
1,29c10d9c1084,2025-10-09T15:29:25.989410,grail,19.—Prince,2,True,3e1718633b3f,8.504865007125773
1,29c10d9c1084,2025-10-09T15:29:26.023321,grail,thus,5,True,3e1718633b3f,9.323060003225692
1,29c10d9c1084,2025-10-09T15:29:26.040755,shrek3,Cinderella,21,True,3e1718633b3f,12.828335995436646
