pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,5bd3175db68f,2025-10-09T15:39:30.516620,grail,(as,0,True,be23171be2dc,9.682995005277917
1,5bd3175db68f,2025-10-09T15:39:30.531723,grail,on,139,True,62e54192d553,8.939541003201157
1,5bd3175db68f,2025-10-09T15:39:30.547715,shrek3,WHITE,45,True,52732bd3a730,18.896295005106367
1,5bd3175db68f,2025-10-09T15:39:30.573772,shrek,transport,1,False,be23171be2dc,19.291787000838667
1,5bd3175db68f,2025-10-09T15:39:30.605314,shrek,Is,132,True,62e54192d553,7.775873003993183
