pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,05e50b0b9d59,2025-10-09T15:39:28.228192,shrek,not,50,False,62e54192d553,21.979202996590175
1,05e50b0b9d59,2025-10-09T15:39:28.255109,shrek,not,50,True,52732bd3a730,10.068411007523537
1,05e50b0b9d59,2025-10-09T15:39:28.270648,grail,the,1600,True,be23171be2dc,13.163317998987623
1,05e50b0b9d59,2025-10-09T15:39:28.290182,shrek3,the,1285,True,62e54192d553,10.418723992188461
1,05e50b0b9d59,2025-10-09T15:39:28.307358,shrek3,"Bay..""",0,False,52732bd3a730,29.929017007816583
