pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,7aabf9fb7f80,2025-10-10T10:21:30.566609,shrek,after,10,True,b2ca73ed2b17,20.317111993790604
1,7aabf9fb7f80,2025-10-10T10:21:30.590750,shrek,gone),0,True,ca82256a2ca5,11.673450004309416
1,7aabf9fb7f80,2025-10-10T10:21:30.607294,shrek3,ho.,0,False,ca82256a2ca5,12.398058999679051
1,7aabf9fb7f80,2025-10-10T10:21:30.623865,grail,from,94,True,b2ca73ed2b17,6.127906002802774
1,7aabf9fb7f80,2025-10-10T10:21:30.634188,shrek,edge!,0,False,ca82256a2ca5,9.258941994630732
