pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,a29a52e6ad78,2025-10-09T15:39:32.945381,grail,Jones/Chapman/Palin,1,True,52732bd3a730,4.832588005228899
1,a29a52e6ad78,2025-10-09T15:39:32.955202,grail,LTD/,0,True,be23171be2dc,4.139336000662297
1,a29a52e6ad78,2025-10-09T15:39:32.963574,shrek,He,118,True,62e54192d553,3.8249450008152053
1,a29a52e6ad78,2025-10-09T15:39:32.971597,shrek3,dat?,0,True,52732bd3a730,4.013101002783515
1,a29a52e6ad78,2025-10-09T15:39:32.980388,shrek3,what,82,True,be23171be2dc,4.15999699907843
