pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,897e55309648,2025-10-09T15:38:24.778357,shrek3,ARTIE,213,True,264f338d9c8f,6.810164995840751
1,897e55309648,2025-10-09T15:38:24.791400,shrek,SHREK,433,True,0253fe381655,8.362350010429509
1,897e55309648,2025-10-09T15:38:24.806187,shrek3,TO:,0,True,c6c379263bc0,12.187708998681046
1,897e55309648,2025-10-09T15:38:24.828945,grail,are,114,False,0253fe381655,16.64833699760493
1,897e55309648,2025-10-09T15:38:24.857665,shrek3,CAPTAIN,41,True,264f338d9c8f,7.423689006827772
