pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,5aa80023a97b,2025-10-09T15:39:31.416761,grail,them.,0,True,be23171be2dc,4.516061002505012
1,5aa80023a97b,2025-10-09T15:39:31.425802,shrek,FIONA,211,True,62e54192d553,4.728765998152085
1,5aa80023a97b,2025-10-09T15:39:31.435600,shrek,SHREK,433,True,52732bd3a730,6.462418998125941
1,5aa80023a97b,2025-10-09T15:39:31.447236,grail,the,1600,True,be23171be2dc,8.140434001688845
1,5aa80023a97b,2025-10-09T15:39:31.461634,shrek3,SHREK,678,True,62e54192d553,5.1848750008502975
