pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,6d5a3550fddc,2025-10-09T15:38:23.496926,shrek3,the,1285,True,c6c379263bc0,35.86562599230092
1,6d5a3550fddc,2025-10-09T15:38:23.540232,shrek3,boomerang,1,True,264f338d9c8f,17.36142800655216
1,6d5a3550fddc,2025-10-09T15:38:23.567482,shrek3,did?,0,False,0253fe381655,41.10958099772688
1,6d5a3550fddc,2025-10-09T15:38:23.623155,shrek,I,386,True,c6c379263bc0,6.68824600870721
1,6d5a3550fddc,2025-10-09T15:38:23.636673,grail,Bum,13,True,264f338d9c8f,6.704295999952592
