pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,37a9c3f57264,2025-10-09T15:44:28.769074,shrek3,ARTIE,213,True,e5f84ec5bd71,8.357744998647831
1,37a9c3f57264,2025-10-09T15:44:28.794337,grail,for,118,True,db884d19af34,8.44725000206381
1,37a9c3f57264,2025-10-09T15:44:28.827678,grail,[music],0,True,9960c00ca881,8.534944005077705
1,37a9c3f57264,2025-10-09T15:44:28.842024,shrek,GORDO,5,True,e5f84ec5bd71,10.340209992136806
1,37a9c3f57264,2025-10-09T15:44:28.869899,grail,are,114,True,db884d19af34,16.502097001648508
