pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,99ec50e75e88,2025-10-09T15:44:25.268168,grail,[pathetic,0,True,9960c00ca881,26.438214001245797
1,99ec50e75e88,2025-10-09T15:44:25.301910,grail,“I,0,False,e5f84ec5bd71,20.550927991280332
1,99ec50e75e88,2025-10-09T15:44:25.329084,shrek3,bed,10,True,db884d19af34,12.379609004710801
1,99ec50e75e88,2025-10-09T15:44:25.348464,shrek,FIONA,211,True,9960c00ca881,7.186004004324786
1,99ec50e75e88,2025-10-09T15:44:25.363853,shrek,SHREK,433,True,e5f84ec5bd71,7.355522000580095
