pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms
1,f6c74548bb6b,2025-10-09T15:32:38.459970,shrek3,CAPTAIN,41,True,a52919b3eb77,6.109866008046083
1,f6c74548bb6b,2025-10-09T15:32:38.471554,shrek3,WHITE,45,True,72fd24c913e4,6.131459012976848
1,f6c74548bb6b,2025-10-09T15:32:38.482982,grail,[dancing,0,False,2f4fb31011d8,12.270762003026903
1,f6c74548bb6b,2025-10-09T15:32:38.502257,shrek,DONKEY,320,True,a52919b3eb77,6.348850991344079
1,f6c74548bb6b,2025-10-09T15:32:38.515807,shrek,fair,2,True,72fd24c913e4,5.49702400167007
