t_start_utc,file,keyword,count,from_cache,server,latency_ms
2025-10-22T08:11:04.201887,shrek3,Hold,8,False,91b104b07f6e,8.491226999467472
2025-10-22T08:11:04.716399,shrek,and,318,True,91b104b07f6e,5.602288001682609
2025-10-22T08:11:05.228091,grail,a,666,False,91b104b07f6e,9.625765000237152
2025-10-22T08:11:05.742897,shrek,Shrek,433,True,91b104b07f6e,5.779654999059858
2025-10-22T08:11:06.255133,grail,of,684,False,91b104b07f6e,14.450198999838904
2025-10-22T08:11:06.779031,grail,TV,2,False,91b104b07f6e,10.910910998063628
2025-10-22T08:11:07.296461,shrek3,true,1,False,91b104b07f6e,29.219664000265766
2025-10-22T08:11:07.835505,shrek3,the,1285,True,91b104b07f6e,3.891754000505898
2025-10-22T08:11:08.345335,shrek3,him,87,False,91b104b07f6e,10.704378997616004
2025-10-22T08:11:08.861362,shrek3,116,1,False,91b104b07f6e,13.152513001841726
2025-10-22T08:11:09.382339,grail,"lute,",0,True,91b104b07f6e,4.833472998143407
2025-10-22T08:11:09.893297,shrek3,get,39,True,91b104b07f6e,4.555472998617915
2025-10-22T08:11:10.403267,shrek,I,386,True,91b104b07f6e,5.049642000813037
2025-10-22T08:11:10.913825,shrek,after,10,False,91b104b07f6e,10.350750999350566
2025-10-22T08:11:11.429559,grail,king,136,False,91b104b07f6e,8.044938000239199
2025-10-22T08:11:11.942994,shrek3,fall,6,False,91b104b07f6e,11.370100000931416
2025-10-22T08:11:12.460217,grail,pause,10,False,91b104b07f6e,11.081331002060324
2025-10-22T08:11:12.977362,grail,Get,47,False,91b104b07f6e,9.486124999966705
2025-10-22T08:11:13.492775,shrek,FARQUAAD,84,False,91b104b07f6e,7.720495999819832
2025-10-22T08:11:14.006048,shrek3,RAPUNZEL,30,True,91b104b07f6e,5.580891000136035
2025-10-22T08:11:14.517969,grail,Cleese,10,True,91b104b07f6e,7.2491480023018084
2025-10-22T08:11:15.033708,shrek3,ho,8,False,91b104b07f6e,14.781633999518817
2025-10-22T08:11:15.557151,shrek,baby,3,False,91b104b07f6e,16.156327998032793
2025-10-22T08:11:16.085044,shrek3,boomerang,1,False,91b104b07f6e,23.460832999262493
2025-10-22T08:11:16.620675,shrek,No,114,False,91b104b07f6e,15.964938000252005
