t_start_utc,file,keyword,count,from_cache,server,latency_ms,source_file
2025-10-22T00:50:20.231425,shrek,this,79,True,cce8498ef544,4.931160000069212,latency-4268402daa7d.csv
2025-10-22T00:50:20.741449,shrek,our,11,True,cce8498ef544,5.268415999921672,latency-4268402daa7d.csv
2025-10-22T00:50:21.252395,shrek3,SCHOOL,14,True,cce8498ef544,4.883413000015935,latency-4268402daa7d.csv
2025-10-22T00:50:21.762529,shrek,not,50,False,cce8498ef544,9.347870999931729,latency-4268402daa7d.csv
2025-10-22T00:50:22.276868,shrek3,the,1285,True,cce8498ef544,4.94718099992042,latency-4268402daa7d.csv
2025-10-22T00:50:22.786817,shrek3,Third,121,False,cce8498ef544,10.425944000076017,latency-4268402daa7d.csv
2025-10-22T00:50:23.302086,shrek3,and,576,True,cce8498ef544,3.979908999895088,latency-4268402daa7d.csv
2025-10-22T00:50:23.811117,shrek,FIONA,211,True,cce8498ef544,4.792531000020972,latency-4268402daa7d.csv
2025-10-22T00:50:24.324978,grail,on,139,True,3235342dfdf1,7.792448999907719,latency-4268402daa7d.csv
2025-10-22T00:50:24.838307,shrek3,still,18,True,1ae65fa4046a,7.13601400002517,latency-4268402daa7d.csv
2025-10-22T00:50:25.352375,grail,the,1600,True,1ae65fa4046a,12.618558999974994,latency-4268402daa7d.csv
2025-10-22T00:50:25.874837,shrek,SHREK,433,True,1ae65fa4046a,7.154110999977092,latency-4268402daa7d.csv
2025-10-22T00:50:26.389697,grail,is,317,True,3235342dfdf1,7.016973999952825,latency-4268402daa7d.csv
2025-10-22T00:50:26.903736,shrek,afraid,8,True,cce8498ef544,5.152943999974013,latency-4268402daa7d.csv
2025-10-22T00:50:27.420270,shrek,SHREK,433,True,cce8498ef544,8.332950999943023,latency-4268402daa7d.csv
2025-10-22T00:50:27.936885,shrek3,PRINCE,207,True,3235342dfdf1,2559.060355999918,latency-4268402daa7d.csv
2025-10-22T00:50:31.000737,grail,LANCELOT,59,True,3235342dfdf1,4.42446200008817,latency-4268402daa7d.csv
2025-10-22T00:50:31.509917,shrek,DONKEY,320,True,3235342dfdf1,3.484229000036976,latency-4268402daa7d.csv
2025-10-22T00:50:32.017990,grail,I,298,True,3235342dfdf1,3.732176999960757,latency-4268402daa7d.csv
2025-10-22T00:50:32.526436,grail,Rostmm,1,True,3235342dfdf1,3.6134790000232897,latency-4268402daa7d.csv
2025-10-22T00:50:33.034816,shrek3,PUSS,196,True,3235342dfdf1,3.7488789999997607,latency-4268402daa7d.csv
2025-10-22T00:50:33.543308,shrek3,youre,0,True,3235342dfdf1,4.276855999933105,latency-4268402daa7d.csv
2025-10-22T00:50:34.053013,shrek3,WOLF,7,True,1ae65fa4046a,4.862785000000258,latency-4268402daa7d.csv
2025-10-22T00:50:34.563410,shrek3,SHREK,678,True,1ae65fa4046a,4.204817999948318,latency-4268402daa7d.csv
2025-10-22T00:50:35.072850,grail,witch,30,True,1ae65fa4046a,8.247694000033334,latency-4268402daa7d.csv
2025-10-22T00:50:35.596120,shrek,FIONA,211,True,1ae65fa4046a,7.49490999999125,latency-4268402daa7d.csv
2025-10-22T00:50:36.109575,grail,19Prince,0,True,3235342dfdf1,9.456728000031944,latency-4268402daa7d.csv
2025-10-22T00:50:36.626306,shrek3,Cinderella,21,True,3235342dfdf1,9.65980299997682,latency-4268402daa7d.csv
2025-10-22T00:50:37.143679,grail,Jones,7,False,1ae65fa4046a,12.092855999981111,latency-4268402daa7d.csv
2025-10-22T00:50:37.661879,shrek3,at,134,True,1ae65fa4046a,5.542128999991292,latency-4268402daa7d.csv
2025-10-22T00:50:38.173325,grail,elected,2,True,1ae65fa4046a,5.028100999993512,latency-4268402daa7d.csv
2025-10-22T00:50:38.683239,shrek,don't,72,True,1ae65fa4046a,9.22093400004087,latency-4268402daa7d.csv
2025-10-22T00:50:39.198409,grail,toward,10,True,1ae65fa4046a,6.855479000023479,latency-4268402daa7d.csv
2025-10-22T00:50:39.710637,shrek3,right,36,True,1ae65fa4046a,9.29445199994916,latency-4268402daa7d.csv
2025-10-22T00:50:40.225734,shrek3,body),0,True,1ae65fa4046a,7.770969999910449,latency-4268402daa7d.csv
2025-10-22T00:50:40.741281,grail,the,1600,True,1ae65fa4046a,8.09896199996274,latency-4268402daa7d.csv
2025-10-22T00:50:41.254997,shrek,help,5,False,1ae65fa4046a,12.833367000098406,latency-4268402daa7d.csv
2025-10-22T00:50:41.772775,shrek3,CHARMING,232,True,1ae65fa4046a,8.594915000003311,latency-4268402daa7d.csv
2025-10-22T00:50:42.286616,shrek3,Donkey,243,True,1ae65fa4046a,7.144598999957452,latency-4268402daa7d.csv
2025-10-22T00:50:42.800361,shrek,FARQUAAD,84,True,1ae65fa4046a,7.513849000019945,latency-4268402daa7d.csv
2025-10-22T00:50:43.315316,shrek3,Hold,8,True,1ae65fa4046a,9.14539200005038,latency-4268402daa7d.csv
2025-10-22T00:50:43.829948,shrek,I,386,True,1ae65fa4046a,6.6221829999904,latency-4268402daa7d.csv
2025-10-22T00:50:44.343417,grail,feel,11,True,1ae65fa4046a,7.6302350000787555,latency-4268402daa7d.csv
2025-10-22T00:50:44.858269,shrek,edge,2,True,1ae65fa4046a,9.52069400000255,latency-4268402daa7d.csv
2025-10-22T00:50:45.397562,shrek3,They,80,True,1ae65fa4046a,5.726288999994722,latency-4268402daa7d.csv
2025-10-22T00:50:45.910953,shrek3,EVIL,59,True,1ae65fa4046a,4.7382029999880615,latency-4268402daa7d.csv
2025-10-22T00:50:46.421117,shrek3,them,44,True,1ae65fa4046a,7.936991999940801,latency-4268402daa7d.csv
2025-10-22T00:50:46.934443,shrek3,Shrek,678,True,1ae65fa4046a,5.484475999992355,latency-4268402daa7d.csv
2025-10-22T00:50:47.445537,shrek3,SHREK,678,True,1ae65fa4046a,4.594630000042344,latency-4268402daa7d.csv
2025-10-22T00:50:47.955355,grail,Auuuuuuuugh,2,True,1ae65fa4046a,6.785842999988745,latency-4268402daa7d.csv
2025-10-22T00:50:48.467723,grail,the,1600,True,1ae65fa4046a,5.194278999965718,latency-4268402daa7d.csv
2025-10-22T00:50:48.978929,grail,Jones,7,True,1ae65fa4046a,5.411395999999513,latency-4268402daa7d.csv
2025-10-22T00:50:49.489587,shrek3,SHREK,678,True,1ae65fa4046a,5.563144999996439,latency-4268402daa7d.csv
2025-10-22T00:50:49.999665,shrek3,him,87,False,1ae65fa4046a,12.228775000039604,latency-4268402daa7d.csv
2025-10-22T00:50:50.516743,shrek,I,386,True,3235342dfdf1,4.532247999918582,latency-4268402daa7d.csv
2025-10-22T00:50:51.027222,shrek,its,1,True,3235342dfdf1,4.478979000055006,latency-4268402daa7d.csv
2025-10-22T00:50:51.538983,shrek3,PRINCE,207,True,3235342dfdf1,8.809405000079096,latency-4268402daa7d.csv
2025-10-22T00:50:52.055924,grail,CALLS,3,True,3235342dfdf1,4.888315000016519,latency-4268402daa7d.csv
