pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms,source_file
1,05a980f217d5,2025-10-15T11:31:22.478203,grail,"Oh,",2,False,8530909d35aa,9.703487000024325,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:24.489455,grail,the,1600,False,8530909d35aa,9.385776000272015,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:26.496957,shrek,Is,132,False,8530909d35aa,9.070550000160438,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:28.350644,grail,are,114,False,8530909d35aa,9.101564000047802,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:30.544566,grail,to,718,False,8530909d35aa,7.993394000095577,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:32.420433,shrek,"Well,",0,False,8530909d35aa,7.825364999916928,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:34.354311,shrek,after,10,True,8530909d35aa,4.563679000057164,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:36.321773,shrek,FIONA,211,True,8530909d35aa,4.6415560000241385,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:38.303025,grail,Rostmm,1,False,8530909d35aa,8.851436999975704,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:40.495721,grail,to,718,True,8530909d35aa,6.151744999897346,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:42.706955,shrek,trip,1,False,8530909d35aa,61.164973999893846,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:44.638298,shrek,who,29,True,8530909d35aa,4.619715999979235,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:46.628491,shrek3,the,1285,True,8530909d35aa,4.246249000061653,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:48.725005,shrek,DONKEY,320,True,8530909d35aa,4.369248999864794,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:50.925657,shrek3,reason,2,False,8530909d35aa,13.512176999938674,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:53.081449,shrek3,body),0,True,8530909d35aa,4.75248000020656,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:54.916582,shrek,edge,2,False,8530909d35aa,9.123014999659064,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:56.943548,shrek3,right,36,False,8530909d35aa,10.265575000175886,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:31:58.954976,shrek3,BOAT,32,False,8530909d35aa,10.226954999779991,latency-05a980f217d5.csv
1,05a980f217d5,2025-10-15T11:32:00.830158,shrek,ogre,27,True,8530909d35aa,4.185870000128489,latency-05a980f217d5.csv
2,05a980f217d5,2025-10-15T11:32:02.876370,grail,"Oh,",2,True,8530909d35aa,4.381055000067136,latency-05a980f217d5.csv
2,05a980f217d5,2025-10-15T11:32:05.013691,grail,the,1600,True,8530909d35aa,5.561074000070221,latency-05a980f217d5.csv
2,05a980f217d5,2025-10-15T11:32:06.869908,shrek,Is,132,True,8530909d35aa,4.535366999789403,latency-05a980f217d5.csv
2,05a980f217d5,2025-10-15T11:32:08.793753,grail,are,114,True,0f73307242bd,4.501887000060378,latency-05a980f217d5.csv
2,05a980f217d5,2025-10-15T11:32:10.741364,grail,to,718,True,8530909d35aa,4.077564999988681,latency-05a980f217d5.csv
2,05a980f217d5,2025-10-15T11:32:12.782772,shrek,"Well,",0,True,8530909d35aa,4.540803000054439,latency-05a980f217d5.csv
2,05a980f217d5,2025-10-15T11:32:14.892875,shrek,after,10,True,8530909d35aa,4.063216000304237,latency-05a980f217d5.csv
2,05a980f217d5,2025-10-15T11:32:16.791193,shrek,FIONA,211,True,8530909d35aa,4.547991000436014,latency-05a980f217d5.csv
2,05a980f217d5,2025-10-15T11:32:18.651737,grail,Rostmm,1,True,8530909d35aa,4.784276999998838,latency-05a980f217d5.csv
