pass,client_id,t_start_utc,file,keyword,count,from_cache,server,latency_ms,source_file
1,004e732ec515,2025-10-15T11:50:11.994845,shrek,FARQUAAD,84,True,c060a1e70889,11.178457000369235,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:12.117159,shrek3,Whoa,7,True,c060a1e70889,7.322250000015629,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:12.233448,shrek,SHREK,433,True,c060a1e70889,5.308373999923788,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:12.345684,shrek3,the,1285,True,5d32a63602e5,8.484682000016619,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:12.465840,shrek,you,409,True,5d32a63602e5,6.4489579999644775,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:12.580401,shrek3,Uh,18,True,c060a1e70889,14.63169199996628,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:12.702934,shrek,rising,1,True,5d32a63602e5,10.52043700019567,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:12.820527,shrek,lay,2,True,5d32a63602e5,6.3041810003596765,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:12.933534,shrek,to,268,True,5d32a63602e5,7.650795000245125,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:13.047885,shrek3,of,275,True,5d32a63602e5,15.573018999930357,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:13.173065,grail,is,317,True,5d32a63602e5,6.86049300020386,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:13.289978,grail,I,298,True,4ee8a2a45a7d,5.064168999979302,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:13.400733,shrek,INSIDE,16,True,5d32a63602e5,4.998700999749417,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:13.510921,shrek3,the,1285,True,c060a1e70889,16.038173000197276,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:13.636211,shrek3,WHITE,45,True,c060a1e70889,5.756677000135824,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:13.747845,shrek3,-,110,True,5d32a63602e5,6.896844000038982,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:13.860635,grail,thus,5,True,c060a1e70889,6.597391000013886,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:13.974955,shrek,fair,2,True,c060a1e70889,7.192770000074233,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:14.088293,shrek3,you,328,True,c060a1e70889,4.987329999948997,latency-004e732ec515.csv
1,004e732ec515,2025-10-15T11:50:14.199302,shrek3,us,12,True,5d32a63602e5,6.9728720000057365,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:14.314012,shrek,FARQUAAD,84,True,5d32a63602e5,6.306069999936881,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:14.426302,shrek3,Whoa,7,True,c060a1e70889,9.56207799981712,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:14.561958,shrek,SHREK,433,True,c060a1e70889,5.180005000056553,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:14.672184,shrek3,the,1285,True,c060a1e70889,4.733651999686117,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:14.782206,shrek,you,409,True,c060a1e70889,8.033740999962902,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:14.896332,shrek3,Uh,18,True,5d32a63602e5,6.274410000060016,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:15.008982,shrek,rising,1,True,5d32a63602e5,6.244571000024735,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:15.125529,shrek,lay,2,True,5d32a63602e5,5.675880000126199,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:15.237349,shrek,to,268,True,5d32a63602e5,7.074861000091914,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:15.355084,shrek3,of,275,True,5d32a63602e5,10.228735000055169,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:15.476511,grail,is,317,True,4ee8a2a45a7d,5.056876000253396,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:15.589672,grail,I,298,True,4ee8a2a45a7d,12.099099000351998,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:15.723697,shrek,INSIDE,16,True,5d32a63602e5,8.412792999934027,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:15.839542,shrek3,the,1285,True,5d32a63602e5,11.022519000107422,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:15.962568,shrek3,WHITE,45,True,4ee8a2a45a7d,8.871279999766557,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:16.079513,shrek3,-,110,True,5d32a63602e5,11.877472999913152,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:16.200601,grail,thus,5,True,5d32a63602e5,15.241434000017762,latency-004e732ec515.csv
2,004e732ec515,2025-10-15T11:50:16.338807,shrek,fair,2,True,5d32a63602e5,10.21776299967314,latency-004e732ec515.csv
