server,lat_mean_ms,lat_p95_ms,algo,clients,segment
70ac063f95b4,7.177414724969822,10.835408800198817,LC,1,all
70ac063f95b4,4.74453865213629,5.165557000009358,LC,1,hit
70ac063f95b4,10.468952941156363,13.48633279985733,LC,1,miss
0f73307242bd,7.818812142821636,13.446834999967901,LC,10,all
8530909d35aa,6.552503203563453,10.653350399934425,LC,10,all
0f73307242bd,4.655315749914735,5.022039099912945,LC,10,hit
8530909d35aa,4.842889018121149,6.927746750193364,LC,10,hit
0f73307242bd,12.036807333364171,13.894854999989546,LC,10,miss
8530909d35aa,10.585439230760683,15.344335999816378,LC,10,miss
4ee8a2a45a7d,11.287242876190769,21.750616700182913,LC,100,all
5d32a63602e5,9.334711264879667,19.121014599841143,LC,100,all
c060a1e70889,8.803753366569252,17.850830300130824,LC,100,all
4ee8a2a45a7d,10.631156030691537,18.912078000084875,LC,100,hit
5d32a63602e5,8.805973312612895,16.980330250021325,LC,100,hit
c060a1e70889,8.211835510448154,15.197450799951177,LC,100,hit
4ee8a2a45a7d,20.1331034482666,36.01259799988836,LC,100,miss
5d32a63602e5,18.220665507452573,31.27359240011172,LC,100,miss
c060a1e70889,18.45029871741236,35.50706525002172,LC,100,miss
43b0b4609cf3,8.117347230801478,14.090190799834089,RR,1,all
c5860c33ddc9,7.263356461582869,13.741368800037886,RR,1,all
cad68e2fc736,8.378200571477075,16.035116549915067,RR,1,all
43b0b4609cf3,5.014629000080666,5.423583100082396,RR,1,hit
c5860c33ddc9,4.813537875008933,5.441989849919082,RR,1,hit
cad68e2fc736,4.774992714309129,5.1994694001678,RR,1,hit
43b0b4609cf3,11.737185166642425,14.603961749799055,RR,1,miss
c5860c33ddc9,11.183066200101166,14.782447600191519,RR,1,miss
cad68e2fc736,11.98140842864502,20.322264100059318,RR,1,miss
ad188af8fa2e,8.097212686607236,17.3263672498706,RR,10,all
bc16c253cd86,8.122895150349938,16.402723800274543,RR,10,all
f23699364d32,7.9218392631747365,16.60079760022199,RR,10,all
ad188af8fa2e,5.587874423939787,8.037015849868114,RR,10,hit
bc16c253cd86,5.6086872873179505,7.887994700377021,RR,10,hit
f23699364d32,5.656150206524889,8.500769449483414,RR,10,hit
ad188af8fa2e,13.593858404831172,18.216327949721745,RR,10,miss
bc16c253cd86,12.878027413040874,17.528153500279586,RR,10,miss
f23699364d32,13.005824463462199,17.637691000345512,RR,10,miss
6ec6587f6660,10.208761232378407,22.61003765020177,RR,100,all
a1e396557c78,10.190100680416737,21.711690000302006,RR,100,all
c6aff4c179ab,10.10553757464123,22.611932599647844,RR,100,all
6ec6587f6660,9.693244920919923,21.039762150394385,RR,100,hit
a1e396557c78,9.750121773189752,20.43519400012883,RR,100,hit
c6aff4c179ab,9.54670548245656,19.766291450105193,RR,100,hit
6ec6587f6660,18.079815158549405,27.151575949801558,RR,100,miss
a1e396557c78,17.895842375044896,36.27480364980329,RR,100,miss
c6aff4c179ab,18.976112810078927,39.60891960005027,RR,100,miss
