algo,clients,segment,requests,duration_s,throughput_req_s,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms
LC,1,hit,23,3.714591,6.191798774077684,4.74453865213629,4.703367999809416,5.165557000009358,5.2908274001947575
LC,1,miss,17,2.229896,7.623673929187729,10.468952941156363,9.809965999920678,13.48633279985733,20.77999296006965
LC,10,hit,280,79.420079,3.5255568053514525,4.840209400003914,4.642857499902675,6.912469350231732,7.698118050084304
LC,10,miss,120,42.979333,2.792039606570907,10.62172343332577,9.582482999803688,15.13365949979288,27.681170990135804
LC,100,hit,3766,44.803566000000004,84.05580930767876,8.640660122411155,7.459694500084879,16.408039000111785,27.505966550211266
LC,100,miss,234,32.235959,7.258974364621818,18.593101760692132,16.26319799970588,34.28868275007061,53.54820885020668
RR,1,hit,22,2.7824299999999997,7.906757762100035,4.86525704549091,4.884807000053115,5.487843850119134,5.613656520031327
RR,1,miss,18,2.108444,8.537101293655416,11.678238944493083,10.744474499915668,16.607083250255517,22.518986250197468
RR,10,hit,271,6.233544,43.47446653139851,5.617734538743217,5.199903000175254,8.41448949995538,10.073995100356115
RR,10,miss,129,4.646078,27.765353917863624,13.151706333370074,12.93212600012339,18.082808999679397,22.916104799915043
RR,100,hit,3767,47.106356,79.96797714516487,9.663502753380554,7.8328439994947985,20.44814609971581,37.978850240233506
RR,100,miss,233,34.478058,6.7579212263057284,18.32686011159021,15.652541000235942,36.27255779974803,53.71044984003676
