key,algo,clients,requests,unique_clients,duration_s,throughput_req_s,lat_mean_ms,lat_median_ms,lat_p95_ms,lat_p99_ms,lat_min_ms,lat_max_ms,lat_std_ms,cache_hit_ratio,cache_hit_mean_lat_ms,cache_miss_mean_lat_ms,server_count,server_fairness_index,server_gini
LC-1C,LC,1,40,1,4.390627,9.110316134802614,7.177414724969822,5.001765000088199,10.835408800198817,18.158833839993342,4.165388999808783,22.603408000122727,3.4989401687968122,0.575,4.74453865213629,10.468952941156363,1,1.0,0.0
LC-10C,LC,10,400,10,83.540867,4.788075756982507,6.574663610000471,4.8547179999332,10.793436149742767,18.656709939705227,3.8017020001461774,61.164973999893846,4.055752409263281,0.7,4.840209400003914,10.62172343332577,2,0.03500000000000003,0.48249999999999993
LC-100C,LC,100,4000,100,45.68216,87.56153386792568,9.222877958250592,7.650962500292735,18.976113950225223,30.458059939946878,3.864746999624913,56.10724500002107,5.198084983337389,0.9415,8.640660122411155,18.593101760692132,3,0.3931508630639736,0.32783333333333325
RR-1C,RR,1,40,1,4.424298,9.04098232081112,7.9310989000418886,5.372174500053006,14.987543299798745,20.606311750216257,3.907440000148199,23.99696200018297,4.168331610459832,0.55,4.86525704549091,11.678238944493083,3,0.9646446609406726,0.016666666666666607
RR-10C,RR,10,400,10,6.954301,57.51836165849019,8.047440442510378,6.424122999760584,16.810733599777446,18.360261470324975,3.6791370002902113,25.507831000140868,4.170519324048878,0.6775,5.617734538743217,13.151706333370074,3,0.9964644660940672,0.0016666666666666312
RR-100C,RR,100,4000,100,47.841967,83.60860246402495,10.168143319496266,8.031074500195245,22.37270825025915,39.82983725002668,3.8943420004216014,133.27749200016115,7.853869513053454,0.94175,9.663502753380554,18.32686011159021,3,0.9996464466094067,0.00016666666666672233
